"V_1"	"V_2"	"V_3"	"V_4"	"V_5"	"V_6"	"V_7"	"V_8"	"V_9"	"V_10"	"V_11"	"V_12"	"V_13"	"V_14"	"V_15"	"V_16"	"V_17"	"V_18"	"V_19"
"Dromaius_novaehollandiae"	-0.0439474388375016	0.24130279798149	-0.100388835161122	-0.849247700147845	-0.376320731603541	-0.0715018894959615	0.105186922719212	0.0253824953880737	0.0092185519013585	0.00419001172429218	-0.00015807459932544	0.000168627986748216	3.26848958084126e-17	-4.00868313138579e-17	0.00101862396045953	-7.70712617795314e-05	2.57423014302272e-17	5.58790022069527e-17	8.57978056629532e-17
"Anas_sp"	-0.0762369530642207	0.282289291592182	-0.197012804578421	0.071123779848952	-0.00270208141827837	-0.000209210619893705	-0.624386830333938	-0.654951121061856	0.0408231420804434	0.0114939407644754	-0.000354789731509417	0.00037804457728183	-5.07280468816266e-16	-9.62413668351721e-17	0.00137723419005615	-0.000102728782027415	1.64374098086438e-16	1.40660982476975e-16	1.82768697688177e-16
"Eudyptula_minor"	-0.0950419882065086	0.0388071349325501	0.171290899424091	-0.0674474428756818	0.285258671172919	0.00072071478199185	0.0727709557336785	-0.0382081604994951	-0.0280699986418708	-0.658266042021369	-0.00401785544833371	0.61912760963627	-3.85348706430654e-16	-8.66711844263253e-17	0.00234849136710995	-0.000173359605392813	1.01880666046975e-16	-2.63692951401493e-17	1.33429032064842e-16
"Pelecanus_conspicillatus"	-0.0963514952323054	0.0426642627858502	0.196692324329852	-0.0842781166495675	0.366453417585479	0.00102076662972037	0.216796756568444	-0.156235416723526	0.113467422739218	0.410777443049863	-0.000273282186006482	0.0760925348577953	-0.707106781186547	-1.47431585379442e-16	0.001691680494836	-0.000127516279560098	6.14704534258633e-16	-1.27531442911202e-16	5.70944746558272e-17
"Phalacrocorax_sp"	-0.0963514952323054	0.0426642627858502	0.196692324329852	-0.0842781166495675	0.366453417585479	0.00102076662971968	0.216796756568444	-0.156235416723527	0.113467422739218	0.410777443049863	-0.000273282186007514	0.0760925348577967	0.707106781186547	1.29967870820935e-16	0.0016916804948344	-0.000127516279561818	-6.34516389995359e-16	1.30066272440375e-16	2.90284601140319e-16
"Haliaeetus_leucocephalus"	-0.0970155239369371	-0.067780408564322	0.0303206494451817	-0.0229289267768192	0.0754993490944053	1.64474328268592e-05	-0.386772421864126	0.438799324378583	0.358661413123946	0.0477973529321061	-0.675057498856176	-0.00187085248462701	-4.06641719376192e-16	1.45454369221291e-16	0.00903843844510815	-0.000636441951983715	-4.34280682639422e-16	-5.9973189299753e-17	-6.13037748791532e-17
"Corvus_sp"	-0.110038177470522	-0.345385419197605	-0.19332865013441	0.0284003089895566	-0.0747399553533088	-9.76935478345931e-06	0.0757276079488952	-0.0739563164688262	-0.0350288568383262	-0.00230036965466049	-0.0124881425509693	-7.6257151248453e-05	-1.47174360237472e-15	4.11241359424479e-15	-0.695008027486071	-0.528396885415364	-8.15225184225455e-16	4.38996953572779e-16	1.98332361875619e-16
"Hirundo_sp"	-0.1109091631412	-0.36098406328466	-0.204966278557645	0.0307566915644822	-0.0813959662752777	-1.08112146891184e-05	0.0879100446568381	-0.0864622513931427	-0.0419729315758913	-0.00282902995515482	-0.0157655101650804	-9.62901069614974e-05	1.11800352710006e-15	-8.71090189025537e-16	0.46821622815646	-0.14614577163425	0.707106781186548	1.35087631470577e-16	-9.28494447502599e-17
"Coturnix_sp"	-0.0796976815533051	0.405727822529821	-0.356000494128125	0.260681478672085	-0.0150308054584646	0.00137880026222266	0.230253842036108	0.176329109553944	-0.00203258746139189	0.000889505070069575	-5.5730091412544e-05	5.95778923063442e-05	-1.80963367169574e-16	0.707106781186547	0.000695300961029798	-5.3449809464016e-05	-1.9362477513496e-15	-3.74601192333699e-17	-4.57832582565139e-16
"Calidris_sp"	-0.0929665151503632	0.0328099410213025	0.13473941676945	-0.0267263350833962	0.110751163724554	0.000114584889890904	-0.278003495389396	0.272219246339494	-0.853759362010416	0.169789535987131	-0.0018394829304634	0.00296224156549139	-5.21774229592535e-16	-1.40717868259755e-16	0.00329871100854546	-0.000240150350745046	-3.30661236776364e-18	2.54978635952307e-16	5.00136786579715e-17
"Sterna_sp"	-0.0997402747229485	0.0622097526188415	0.436260948472749	0.228032307985248	-0.430649994106588	-0.000152714179775764	0.0647328545961806	-0.048898811700635	0.0421970943826832	0.00602079384733654	-0.000170574797852594	0.000275818364450585	-5.63844407794208e-16	1.97851666142192e-16	0.00128037071698688	-9.68542400987191e-05	-1.48448783871517e-16	0.707106781186547	3.95143025510137e-15
"Sturnus_vulgaris"	-0.1109091631412	-0.36098406328466	-0.204966278557644	0.0307566915644821	-0.0813959662752777	-1.08112146891739e-05	0.087910044656838	-0.0864622513931427	-0.0419729315758919	-0.00282902995515476	-0.0157655101650799	-9.62901069616362e-05	-4.12022578711483e-16	-4.99787390552033e-15	0.468216228156462	-0.14614577163425	-0.707106781186547	-6.58083415769759e-17	1.74044796484263e-16
"Larus_sp"	-0.0997402747229485	0.0622097526188413	0.436260948472749	0.228032307985248	-0.430649994106588	-0.000152714179775732	0.0647328545961806	-0.0488988117006352	0.0421970943826831	0.00602079384733651	-0.000170574797852866	0.000275818364450779	2.13311709443401e-16	-4.26648785211493e-16	0.00128037071698655	-9.68542400992315e-05	1.84618123509432e-16	-0.707106781186548	-3.81686326964659e-15
"Plegadis_falcinellus"	-0.0952604455218199	0.0394540459058949	0.175562711752416	-0.0702918922983751	0.299001934117783	0.00077176110881496	0.0979245916230839	-0.0589559136075222	-0.00228864819317272	-0.442778613600363	0.0027015144234275	-0.777860747074411	4.0373360233764e-16	1.79204079008466e-17	0.00224191170500482	-0.000165906047061383	1.19848756778917e-16	1.38431071591416e-16	1.2694369083811e-16
"Falco_sp"	-0.0980179787592187	-0.0892675150651178	0.0129495055077744	-0.0189134786640764	0.0637181700132934	1.43744402016312e-05	-0.348402487294428	0.395724713754596	0.323224071837249	0.0423372512423387	0.73718185749635	0.00456908504314704	4.37499062817412e-16	-2.56697442689941e-16	0.0114534502920466	-0.00079815983011211	2.89081164205789e-16	8.62388197491586e-17	7.41523981712316e-17
"Gallus_domesticus"	-0.0796976815533051	0.405727822529821	-0.356000494128125	0.260681478672085	-0.0150308054584645	0.0013788002622227	0.230253842036108	0.176329109553944	-0.00203258746139174	0.000889505070069797	-5.57300914127919e-05	5.95778923062332e-05	6.51703901299294e-16	-0.707106781186547	0.000695300961021131	-5.34498094635647e-05	1.67197707868082e-15	1.03457272720861e-16	6.03059871952636e-16
"Turdus_sp"	-0.110280308612745	-0.349737207103244	-0.196579800432641	0.0290599137210515	-0.0766040894677677	-1.0061574515597e-05	0.0791590602427142	-0.0774810384363019	-0.0369901039834522	-0.00245000413043978	-0.0134177494938145	-8.19394817010442e-05	7.79389830572367e-16	1.95362035326679e-15	-0.279756586721713	0.823455115579169	-2.6271307289122e-17	-9.59972881586435e-17	1.22331527364383e-16
"Crocodylus_porosus"	0.546072810049859	-0.0345494430275982	0.00910428063080893	0.0443861532232354	0.0175013860127216	-0.38503440242467	-2.44080520156661e-05	4.83293198283025e-05	7.49865672877307e-05	5.50555638834978e-05	-2.69459657705341e-06	2.87915813612796e-06	-3.73931223411767e-16	6.29390592946844e-16	4.90691957154348e-05	-3.89485379381367e-06	1.72306653716218e-16	-4.00442547795097e-15	0.707106781186548
"Alligator_mississippiensis"	0.500056938759637	-0.0126293247476378	0.000265345912399031	-0.0321852563043325	-0.0176185057958002	0.835689770245813	0.00745791700319272	0.00186485210032051	0.000741821420432037	0.000359401604493287	-1.41946353271393e-05	1.51470515927107e-05	3.72226765133101e-16	-2.88353049408234e-17	0.000122454189406754	-9.43870036766138e-06	-5.71793592590956e-17	7.01018517877975e-17	1.11952622651759e-16
"Crocodylus_niloticus"	0.546072810049859	-0.0345494430275982	0.00910428063080893	0.0443861532232354	0.0175013860127217	-0.38503440242467	-2.44080520155551e-05	4.83293198281359e-05	7.49865672876335e-05	5.50555638835116e-05	-2.69459657689035e-06	2.87915813615571e-06	-8.2497679447663e-17	-7.30632612217635e-16	4.90691957152939e-05	-3.89485379383823e-06	-1.05249102435953e-16	4.08632482845303e-15	-0.707106781186548
